s_sta,e_sta,dist,in_use
Kledering,Sollenau,34.2,1
Wulkaprodersdorf,Neusiedl-am-see,34.7,1
Neusiedl-am-see,Pamhagen,36.1,1
Neusiedl-am-see,Parndorf-Ort,5.3,1
Parndorf-Ort,Parndorf,1.5,1
Parndorf,Kittsee,19.9,1
Parndorf,Nickelsdorf,17.4,1
Parndorf-Ort,Kledering,40,1
Neumarkt-Kallham,Scharding,37.4,1
Lambach,Attnang-Puchheim,17.2,1
Ganserndorf,Bernhardsthal,43.9,1
Stockerau,Floridsdorf,21.6,1
Stockerau,Retz,55.6,1
Retz,Drosendorf,39.8,1
Retz,Unterretzbach,4.2,1
